Year-month,Year,Month,State_name,pm25_avg_aqi,pm10_avg_aqi,ozone_avg_aqi,Unhealthy_days,Very_unhealthy_days
2023-01,2023,1,Alabama,37.24,,34.8,0,0
2023-01,2023,1,Alaska,42.04,3.67,35.28,12,0
2023-01,2023,1,Arizona,55.15,16.67,37.64,2,0
2023-01,2023,1,Arkansas,38.23,,30.26,0,0
2023-01,2023,1,California,52.45,65.67,34.27,5,0
2023-01,2023,1,Colorado,49.9,10.18,40.41,0,0
2023-01,2023,1,Connecticut,38.82,,28.84,0,0
2023-01,2023,1,Country Of Mexico,64.29,63.5,36.25,1,0
2023-01,2023,1,Delaware,46.96,,30.86,0,0
2023-01,2023,1,District Of Columbia,47.68,,27.0,0,0
2023-01,2023,1,Florida,46.85,12.13,35.96,3,0
2023-01,2023,1,Georgia,41.86,,32.88,0,0
2023-01,2023,1,Hawaii,39.85,,31.43,1,0
2023-01,2023,1,Idaho,40.71,548.19,36.47,1,0
2023-01,2023,1,Illinois,49.23,,25.36,0,0
2023-01,2023,1,Indiana,49.2,33.5,26.37,0,0
2023-01,2023,1,Iowa,51.39,15.6,32.0,0,0
2023-01,2023,1,Kansas,51.77,8.94,28.93,0,0
2023-01,2023,1,Kentucky,39.93,,30.49,0,0
2023-01,2023,1,Louisiana,43.65,34.0,31.85,1,0
2023-01,2023,1,Maine,25.86,11.67,32.99,0,0
2023-01,2023,1,Maryland,33.72,6.6,29.62,0,0
2023-01,2023,1,Massachusetts,44.48,,32.3,0,0
2023-01,2023,1,Michigan,48.36,16.6,27.43,0,0
2023-01,2023,1,Minnesota,43.74,,30.43,5,0
2023-01,2023,1,Mississippi,40.55,,30.32,0,0
2023-01,2023,1,Missouri,41.69,19.74,27.36,0,0
2023-01,2023,1,Montana,37.45,31.2,31.85,0,0
2023-01,2023,1,Nebraska,39.92,11.81,34.13,0,0
2023-01,2023,1,Nevada,50.38,9.85,36.1,1,0
2023-01,2023,1,New Hampshire,35.95,,34.17,0,0
2023-01,2023,1,New Jersey,40.13,,27.76,0,0
2023-01,2023,1,New Mexico,25.92,34.54,37.56,1,0
2023-01,2023,1,New York,45.65,,27.95,0,0
2023-01,2023,1,North Carolina,36.47,8.0,32.06,0,0
2023-01,2023,1,North Dakota,51.82,,30.75,3,0
2023-01,2023,1,Ohio,42.97,13.61,29.61,0,0
2023-01,2023,1,Oklahoma,44.28,52.75,31.59,1,0
2023-01,2023,1,Oregon,40.35,,28.2,3,0
2023-01,2023,1,Pennsylvania,47.76,,28.35,1,0
2023-01,2023,1,Puerto Rico,33.59,30.32,27.12,0,0
2023-01,2023,1,Rhode Island,30.34,,32.5,0,0
2023-01,2023,1,South Carolina,42.2,15.0,31.97,0,0
2023-01,2023,1,South Dakota,37.37,45.65,33.37,0,0
2023-01,2023,1,Tennessee,35.52,,30.98,0,0
2023-01,2023,1,Texas,41.76,69.67,32.77,3,0
2023-01,2023,1,Utah,47.99,,40.98,10,0
2023-01,2023,1,Vermont,37.54,,29.83,0,0
2023-01,2023,1,Virgin Islands,17.8,,,0,0
2023-01,2023,1,Virginia,37.31,5.6,29.49,0,0
2023-01,2023,1,Washington,35.51,54.5,33.02,1,0
2023-01,2023,1,West Virginia,40.33,10.8,28.1,0,0
2023-01,2023,1,Wisconsin,47.71,,32.26,2,0
2023-01,2023,1,Wyoming,39.23,16.68,37.74,0,1
2023-02,2023,2,Alabama,42.92,,37.0,0,0
2023-02,2023,2,Alaska,27.64,2.5,33.89,0,0
2023-02,2023,2,Arizona,44.2,35.19,41.93,2,0
2023-02,2023,2,Arkansas,42.74,,35.76,0,0
2023-02,2023,2,California,56.43,81.14,36.45,9,1
2023-02,2023,2,Colorado,45.91,14.27,46.29,6,0
2023-02,2023,2,Connecticut,46.63,,35.16,0,0
2023-02,2023,2,Country Of Mexico,56.47,70.8,39.62,0,0
2023-02,2023,2,Delaware,52.08,,38.0,0,0
2023-02,2023,2,District Of Columbia,50.0,,39.64,0,0
2023-02,2023,2,Florida,50.23,16.04,37.45,0,0
2023-02,2023,2,Georgia,45.13,,37.03,1,0
2023-02,2023,2,Hawaii,34.59,,33.18,0,0
2023-02,2023,2,Idaho,38.79,15.33,41.0,5,0
2023-02,2023,2,Illinois,43.24,,32.9,0,0
2023-02,2023,2,Indiana,46.39,13.0,33.34,0,0
2023-02,2023,2,Iowa,41.18,22.8,30.88,0,0
2023-02,2023,2,Kansas,46.24,14.87,35.04,1,0
2023-02,2023,2,Kentucky,42.65,,35.88,0,0
2023-02,2023,2,Louisiana,45.96,114.0,33.37,1,0
2023-02,2023,2,Maine,35.14,44.5,37.36,0,0
2023-02,2023,2,Maryland,36.97,7.75,36.51,0,0
2023-02,2023,2,Massachusetts,48.81,,36.37,0,0
2023-02,2023,2,Michigan,43.67,25.5,34.99,0,0
2023-02,2023,2,Minnesota,32.22,43.0,36.19,0,0
2023-02,2023,2,Mississippi,45.25,,33.91,1,0
2023-02,2023,2,Missouri,38.02,28.12,33.69,0,0
2023-02,2023,2,Montana,29.84,14.0,38.03,0,0
2023-02,2023,2,Nebraska,25.1,12.32,36.19,0,0
2023-02,2023,2,Nevada,47.88,24.39,39.72,2,0
2023-02,2023,2,New Hampshire,40.57,,39.13,0,0
2023-02,2023,2,New Jersey,47.42,,34.48,0,0
2023-02,2023,2,New Mexico,21.12,55.95,41.82,3,0
2023-02,2023,2,New York,46.52,,34.97,0,0
2023-02,2023,2,North Carolina,38.13,9.98,36.97,1,0
2023-02,2023,2,North Dakota,45.07,,35.21,0,0
2023-02,2023,2,Ohio,42.8,22.0,36.67,0,0
2023-02,2023,2,Oklahoma,44.14,69.29,35.48,0,0
2023-02,2023,2,Oregon,40.67,,31.0,2,0
2023-02,2023,2,Pennsylvania,50.88,,35.94,2,0
2023-02,2023,2,Puerto Rico,34.67,28.07,29.83,1,0
2023-02,2023,2,Rhode Island,36.1,,34.33,0,0
2023-02,2023,2,South Carolina,47.8,,35.09,0,0
2023-02,2023,2,South Dakota,26.7,51.12,40.7,0,0
2023-02,2023,2,Tennessee,40.23,,35.91,0,0
2023-02,2023,2,Texas,45.82,68.33,34.93,2,0
